year	category	value	product	domestic_global	on_prem_cloud	biz_type	ww010	upload_year
2025	tam	3038.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	ext_sam	1259.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	rnd	0.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	tam_grw	0.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	sam_grw	0.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	marketshare	vf219 / TAM	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	tam	3060.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	ext_sam	1270.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	rnd	0.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	tam_grw	0.0072	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	sam_grw	0.0087	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	marketshare	vf219 / TAM	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	tam	3076.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	ext_sam	1275.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	rnd	0.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	tam_grw	0.0052	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	sam_grw	0.0039	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	marketshare	vf219 / TAM	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	tam	3041.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	ext_sam	1270.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	rnd	0.0000	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	tam_grw	-0.0114	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	sam_grw	-0.0039	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
